ID,Family,Generat,Tr,Sex,MReads,matchV48,Mapping,trtG1G2,outcome,No.Worms,Slfin,Tlfin,Wnettofin,Cfresfin,BC,BCgen ,HK.W,SPL.W,L.W,GON.W,BK.W,integration[RLU],peak[RLU/sec],Tpeak[min],G/L_ratio
S33,Fam06,O,CT,M,10.5,V48_241,71.2,NE_exposed,infected,2,37,42,515,-37.635,1.03242,1.09342,2.3,0.5,10.5,0.4,1.9,360823.7,46,125.11,0.92
S34,Fam06,O,CT,F,9.6,V48_279,70,NE_exposed,infected,3,39,45,564,-81.341,2.24281,2.23577,2,0.6,12.5,11.5,2.2,1512728.6,237,50.11,0.46
S35,Fam06,P,C,M,9.2,7,64.8,Control,control,0,43,48,931,11.613,0.32883,0.42816,3.9,1,29.6,7,206,918395,119.5,92.61,0.6135
S36,Fam06,P,T,M,9,8,59,Exposed,infected,5,45,50,1028,11.503,0.76574,1.26007,1.5,0.6,33,7.4,197,2175423,240,97.61,0.5713
S37,Fam11,O,TC,M,7.8,V48_071,68.2,E_control,control,0,42,48,852,67.6,0.60187,0.19484,2.5,1,32.1,3,3.7,4534874.8,720,55.11,0.38
S38,Fam11,O,TC,F,11.8,V48_360,69.6,E_control,control,0,44,50,978,100.894,0.57146,-0.01056,3.5,0.5,36.3,15.6,4.2,1289473.3,184,35.11,1.28
S39,Fam11,O,TC,M,11.6,V48_385,66.2,E_control,control,0,42,47,801,16.6,1.4237,1.08751,3.8,0.9,23.7,0.5,4.9,251874.5,32,50.11,0.37
S40,Fam11,O,TC,M,10.5,V48_386,70.6,E_control,control,0,40,45,692,0.306,1.18017,0.99536,2.8,0.6,12.9,8.2,2.5,1433789.8,215,65.11,0.39
S41,Fam11,O,TT,M,6.7,V48_070,66.8,E_exposed,infected,1,40,47,697,5.306,1.0996,0.90784,2.6,0.5,16,0.9,2.5,580396,84,75.11,0.78
S42,Fam11,O,TT,M,13.6,V48_133,67.7,E_exposed,infected,2,41,47,710,-28.047,1.89011,1.6803,3.4,0.6,18,0.6,1.9,1263219,190,85.11,0.45
S43,Fam11,O,TT,F,11.7,V48_134,66.9,E_exposed,infected,1,43,49,879,48.247,1.16678,0.72226,3.5,1.1,27.9,16,2.9,2376297.2,389,60.11,0.61
