Idplate,Idplate,treatment,FamilyOfFather,True.ID,number of worms,clutch-ID,test,HK.W,spleen.W,liver.W,Idplate,True.ID,R/RGB,SL,totalL,W.net,BK.W,gonads.W,comments,CF,Hkused,cells_ges,cells_vit,FITC.+,Gran_ges,Gran_vit,Lymph_ges,Lymph_vit,PJ.+,G/G+L,G/L,G/HK,L/HK,integration(mean),peak(mean),Tpeak(mean),VAP,VSL,VCL,ALH,BCF,STR,LIN,ELONGATION,TOTAL_COUNT,TOTAL_SAMPLE,TOTAL_CONC,MOTILE_COUNT,MOTILE_SAMPLE,MOTILE_CONC,MOTILE_PCT,STATIC_COUNT,STATIC_SAMPLE,STATIC_CONC,STATIC_PCT,Nwindows,,Family,matings,selected
31,Bro_dad31,NE,Fam9,NE_9_05,NA,NE_16,16,32,7,301,Bro_dad31,NE_9_05,0.483581301065081,43,48,1002,341,118,NA,12.4990818689331,2,3469,3331,2932,2137,2098,1173,1098,3290,0.656445556946183,0.629840888622035,65.5625,34.3125,2696928.43,378.00,55.11,21.1,15.8,35.8,5.5,34.1,72.5,44.3,50.8,1222.3,13.1,4369.6,380.7,4.1,1360.8,31.5,554.5,5.9,1982.2,45.2,6,,,,
32,Bro_dad32,E,Fam9,E_09_03,5,E_16,16,21,15,245,Bro_dad32,E_09_03,0.492150462878261,42,47,938,207,150,NA,12.3776168323139,2,2526,2419,3051,1259,1227,1187,1131,3367,0.520356234096692,0.507234394377842,58.4285714285714,53.8571428571429,1191013.55,173.00,47.61,21.3,15.3,36.9,5.5,35.7,70.3,43.5,49.5,1526.5,16.4,5457.0,477.7,5.1,1707.6,31.8,841.5,9.0,3008.2,54.8,6,,,,
38,Bro_dad38,NE,Fam6,NE_6_03,NA,NE_19,19,21,6,329,Bro_dad38,NE_6_03,0.439494558534484,43,48,922,216,104,dark.fish,11.5011511807948,2,2823,2705,3118,1677,1643,1070,1012,3621,0.618832391713748,0.607393715341959,78.2380952380952,48.1904761904762,1964698.65,295.50,90.11,21.8,15.8,37.1,4.7,33.1,69.5,43.7,49.3,1036.5,11.1,3705.3,305.0,3.3,1090.3,30.0,484.3,5.2,1731.4,46.5,6,,,,
39,Bro_dad39,E,Fam6,E_06_05,5,E_19,19,34,7,263,Bro_dad39,E_06_05,0.470025921417053,42,47,895,190,102,NA,11.8101994295532,2,2733,2590,3043,1578,1535,1075,1011,3470,0.602906520031422,0.592664092664093,45.1470588235294,29.7352941176471,2164263.63,353.00,90.11,24.6,18.0,41.0,4.0,34.5,69.3,43.8,49.8,1217.8,13.1,4353.5,438.2,4.7,1566.4,35.3,542.8,5.8,1940.5,44.7,6,,,,
62,Bro_dad62,NE,Fam6,NE_6_05,NA,NE_30,30,41,9,188,Bro_dad62,NE_6_05,0.437989112537266,43,49,931,261,82,NA,11.6134183832103,2,5000,4733,2642,2574,2504,2251,2109,3382,0.542813787123347,0.529051341643778,61.0731707317073,51.4390243902439,2834707.88,358.50,102.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
63,Bro_dad63,E,Fam6,E_06_03,6,E_30,30,26,11,175,Bro_dad63,E_06_03,0.391071020418825,39,44,732,174,77,very.pale,11.5309919849266,2,2987,2780,2897,1355,1273,1525,1426,3433,0.471656168951464,0.457913669064748,48.9615384615385,54.8461538461538,1914100.70,243.00,105.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
64,Bro_dad64,E,Fam11,E_11_05,4,E_31,31,58,12,279,Bro_dad64,E_11_05,0.503514251180055,45,50,1024,307,157,NA,11.4583490738612,2,5000,4680,2234,2949,2874,1828,1668,3104,0.632760898282695,0.614102564102564,49.551724137931,28.7586206896552,3361759.10,457.00,70.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
65,Bro_dad65,NE,Fam11,NE_11_01,NA,NE_31,31,35,10,264,Bro_dad65,NE_11_01,0.491232643715679,43,50,919,204,161,NA,11.4637287799896,2,4520,4249,3079,2643,2581,1744,1578,3727,0.620581870641981,0.607437044010355,73.7428571428571,45.0857142857143,2456301.53,317.00,70.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
66,Bro_dad66,NE,Fam12,NE_12_03,NA,NE_32,32,44,15,360,Bro_dad66,NE_12_03,0.499042952281603,43,47,971,277,180,NA,12.1123837272795,2,5000,4670,1861,2850,2784,1968,1751,2700,0.613891951488423,0.596145610278373,63.2727272727273,39.7954545454545,2697228.50,399.50,15.10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
67,Bro_dad67,E,Fam12,E_12_05,3,E_32,32,42,10,226,Bro_dad67,E_12_05,0.487413766141595,41,45,816,250,131,NA,11.4060886112149,2,5000,4664,2014,3049,3013,1732,1486,2969,0.669704378750834,0.646012006861063,71.7380952380952,35.3809523809524,2997537.10,377.50,35.10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
70,Bro_dad70,NE,Fam9,NE_9_02,NA,NE_34,34,22,15,190,Bro_dad70,NE_9_02,0.423562828359708,39,45,743,163,39,pale,11.7042719191263,2,2399,2221,3039,1243,1205,1063,953,3539,0.558387395736793,0.542548401620891,54.7727272727273,43.3181818181818,3289750.35,422.00,52.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
71,Bro_dad71,E,Fam9,E_09_04,6,E_34,34,12,18,427,Bro_dad71,E_09_04,0.451064334807566,44,49,1076,199,119,NA,12.7045818201944,2,1779,1592,2766,701,675,966,841,3278,0.445250659630607,0.423994974874372,56.25,70.0833333333333,1947850.18,256.50,50.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
72,Bro_dad72,E,Fam12,E_12_04,7,E_35,35,35,15,256,Bro_dad72,E_12_04,0.44413878734192,45,50,939,247,101,NA,10.5072165823786,2,2416,2293,2927,1731,1710,608,537,3372,0.761014686248331,0.745747928477976,48.8571428571429,15.3428571428571,3104499.48,397.00,62.61,19.3,13.6,34.7,5.3,34.8,66.5,39.2,43.7,1675.0,18.0,5987.8,315.5,3.4,1127.9,18.7,1099.8,11.8,3931.7,65.7,6,,,,
73,Bro_dad73,NE,Fam12,NE_12_04,NA,NE_35,35,55,12,353,Bro_dad73,NE_12_04,0.459986237999892,44,51,1085,286,217,NA,12.8108469097685,2,5000,4826,1908,3689,3632,1162,1061,2390,0.77391860217345,0.752590136759221,66.0363636363636,19.2909090909091,4248378.73,580.50,15.10,21.3,14.2,38.4,5.7,36.0,63.8,37.5,43.7,2432.7,26.1,8696.4,864.8,9.3,3091.6,35.3,1132.8,12.1,4049.7,46.2,6,,,,
78,Bro_dad78,NE,Fam9,NE_9_04,NA,NE_38,38,43,9,566,Bro_dad78,NE_9_04,0.432546084908801,43,48,1141,206,113,picture.labeled.E0905.!,14.2329864395736,2,5000,4713,2242,2672,2589,2114,1953,3006,0.57001321003963,0.5493316359007,60.2093023255814,45.4186046511628,2380350.03,385.50,15.10,17.7,12.7,31.3,5.8,36.1,70.2,41.3,47.0,1730.3,18.6,6185.7,352.8,3.8,1261.3,20.2,1054.2,11.3,3768.5,61.5,6,,,,
79,Bro_dad79,E,Fam9,E_09_05,6,E_38,38,26,9,237,Bro_dad79,E_09_05,0.473935442731758,41,46,937,311,193,NA,13.097432633221,2,2217,2051,3038,1108,1078,991,891,3483,0.547486033519553,0.525597269624573,41.4615384615385,34.2692307692308,2160803.93,319.00,12.60,22.9,15.5,40.8,5.3,35.8,65.2,38.8,46.5,2174.7,23.3,7774.1,961.7,10.3,3437.8,44.0,910.8,9.8,3256.1,42.0,6,,,,
97,Bro_dad97,E,Fam17,E_17_10,1,E_41,41,34,12,473,Bro_dad97,E_17_10,0.536820575,45,50,1261,619,105,NA,14.1103302559951,2,4259,3890,3294,2139,2051,1925,1704,4375,0.546205059920106,1.20363849765258,60.3235294117647,50.1176470588235,1154726.83,186.00,15.10,20.3,17.8,28.2,2.3,34.8,84.3,62.5,61.5,598.8,6.4,2140.7,97.8,1.1,349.7,16.5,276.8,3.0,989.6,45.8,6,,,,
98,Bro_dad98,NE,Fam17,NE_17_07,NA,NE_41,41,66,8,409,Bro_dad98,NE_17_07,0.481900771,46,51,1210,461,125,no mean for Lumi,12.8467760263326,2,5000,4413,2167,2476,2293,2196,1888,3719,0.548433389141354,1.21451271186441,34.7424242424242,28.6060606060606,1028502.00,164.00,30.11,21.3,19.8,27.2,0.9,37.6,89.0,69.8,61.8,261.3,2.8,934.2,25.7,0.3,91.7,9.8,180.2,1.9,644.1,68.0,6,,,,
99,Bro_dad99,NE,Fam11,NE_11_08,NA,NE_42,42,78,7,281,Bro_dad99,NE_11_08,0.503705164,43.5,50,951,382,121,HK true ?,11.5396116325359,2,5000,4624,1836,2547,2466,2282,2021,2828,0.549587697793626,1.22018802572984,31.6153846153846,25.9102564102564,1126102.65,222.00,17.60,15.4,12.7,22.6,4.3,25.1,80.8,55.0,59.2,715.2,7.7,2556.6,108.2,1.2,386.7,15.2,325.0,3.5,1161.8,45.8,6,,,,
