FamilyOfFather,clutch.ID,fatherID,matchV48,HK.W,No.Worms,Wnettofin,Slfin,ID,Family,Generat,Tr,Sex,MReads,Mapping,trtG1G2,outcome,Tlfin,Cfresfin,BC,BCgen,SPL.W,L.W,GON.W,BK.W,integration.RLU.,peak.RLU.sec.,Tpeak.min.,G.L_ratio
Fam6,E_04,S36,V48_256,2.6,2,832,41,S25,Fam06,O,TT,M,11.7,65.8,E_exposed,infected,47,93.953,-0.07584,-0.45509,0.9,16.6,7.7,13.9,885283.9,144,80.11,0.75
Fam6,E_04,S36,V48_055,1.7,1,615,38,S22,Fam06,O,TT,F,5.8,69.1,E_exposed,infected,44,16.012,0.40581,0.32296,0.7,17.4,12,2.2,194165,27,125.11,1.74
Fam6,E_04,S36,V48_090,3,0,702,41,S19,Fam06,O,TC,F,11.4,69.8,E_control,control,46,-36.047,2.01902,1.82032,0.6,25.3,10.9,2.6,2012259.2,295,75.11,0.68
Fam6,E_04,S36,V48_380,2.6,0,689,40,S21,Fam06,O,TC,M,11.1,61.5,E_control,control,45,-2.694,1.22851,1.04787,0.5,14.3,1.2,3.4,901561.7,157,90.11,0.45
Fam6,E_04,S36,V48_057,3.6,5,706,40,S23,Fam06,O,TT,M,11.3,61.2,E_exposed,infected,46,14.306,0.95457,0.75031,0.7,21.9,4.2,3.5,1025671.6,177,85.11,2.49
Fam6,E_04,S36,V48_363,4.4,9,592,38,S26,Fam06,O,TT,M,11.1,63.2,E_exposed,infected,42,-6.988,0.79161,0.74568,0.4,12.9,4,3.8,1661786.1,287,90.11,0.92
Fam6,E_04,S36,V48_089,2.7,0,573,38,S18,Fam06,O,TC,M,9.8,62.9,E_control,control,43,-25.988,1.09778,1.07824,0.5,15.6,0.6,1.8,800082.5,158,40.11,0.5
Fam11,E_05,S52,V48_134,3.5,1,879,43,S43,Fam11,O,TT,F,11.7,66.9,E_exposed,infected,49,48.247,1.16678,0.72226,1.1,27.9,16,2.9,2376297.2,389,60.11,0.61
Fam11,E_05,S52,V48_360,3.5,0,978,44,S38,Fam11,O,TC,F,11.8,69.6,E_control,control,50,100.894,0.57146,-0.01056,0.5,36.3,15.6,4.2,1289473.3,184,35.11,1.28
Fam11,E_05,S52,V48_385,3.8,0,801,42,S39,Fam11,O,TC,M,11.6,66.2,E_control,control,47,16.6,1.4237,1.08751,0.9,23.7,0.5,4.9,251874.5,32,50.11,0.37
Fam11,E_05,S52,V48_386,2.8,0,692,40,S40,Fam11,O,TC,M,10.5,70.6,E_control,control,45,0.306,1.18017,0.99536,0.6,12.9,8.2,2.5,1433789.8,215,65.11,0.39
Fam11,E_05,S52,V48_133,3.4,2,710,41,S42,Fam11,O,TT,M,13.6,67.7,E_exposed,infected,47,-28.047,1.89011,1.6803,0.6,18,0.6,1.9,1263219,190,85.11,0.45
Fam11,E_05,S52,V48_070,2.6,1,697,40,S41,Fam11,O,TT,M,6.7,66.8,E_exposed,infected,47,5.306,1.0996,0.90784,0.5,16,0.9,2.5,580396,84,75.11,0.78
Fam11,E_05,S52,V48_071,2.5,0,852,42,S37,Fam11,O,TC,M,7.8,68.2,E_control,control,48,67.6,0.60187,0.19484,1,32.1,3,3.7,4534874.8,720,55.11,0.38
Fam11,E_05,S52,V48_252,2.3,1,976,45,S44,Fam11,O,TT,F,10,69.9,E_exposed,infected,51,52.54,1.60368,1.02445,0.8,29.6,16.2,4,5123708.3,897,60.11,0.47
Fam9,E_16,S95,V48_078,4.8,1,1029,43,S84,Fam09,O,TT,F,12,70.5,E_exposed,infected,49,198.247,-1.25038,-1.90323,1.2,59.4,59.6,5.4,6110230.7,1058,20.11,0.84
Fam9,E_16,S95,V48_271,3.6,0,796,39,S82,Fam09,O,TC,M,9.9,68.6,E_control,control,44,150.659,-1.49573,-1.82498,1.1,42.4,4.2,4.6,1966033.6,352,25.11,2.48
Fam9,E_16,S95,V48_218,3.6,1,817,41,S85,Fam09,O,TT,M,11.2,69.5,E_exposed,infected,47,78.953,0.16587,-0.19255,1.1,29.1,11,5.5,2277723.8,355,75.11,1.29
Fam9,E_16,S95,V48_245,2.3,0,562,36,S81,Fam09,O,TC,M,12.5,65.3,E_control,control,41,55.718,-0.72496,-0.72923,0.6,23.3,3.7,3.1,1207597.9,171,75.11,1.59
Fam9,E_16,S95,V48_126,2.7,0,699,38,S80,Fam09,O,TC,M,11.3,63.1,E_control,control,43,100.012,-0.93263,-1.12717,0.7,28.9,5.2,5.1,1106633.7,167,70.11,1.66
Fam9,E_16,S95,V48_219,2.2,1,741,38,S86,Fam09,O,TT,M,10.1,68.1,E_exposed,infected,44,142.012,-1.60944,-1.8623,0.9,26.5,7.9,3.6,1867541.3,269,70.11,0.65
Fam9,E_16,S95,V48_270,2.8,2,753,39,S87,Fam09,O,TT,F,10.2,68.1,E_exposed,infected,45,107.659,-0.80281,-1.07234,0.8,37.4,9.9,4.1,2176526.5,371,40.11,0.98
Fam9,E_16,S95,V48_314,4.1,0,879,40,S83,Fam09,O,TC,M,11,66,E_control,control,46,187.306,-1.83322,-2.27774,1.3,36,5.7,10.3,2130139.7,311,55.11,1.13
Fam6,E_30,S17,V48_278,3.1,2,595,37,S7,Fam06,O,TT,M,8.7,67.3,E_exposed,infected,42,42.365,-0.25674,-0.30683,1,30.1,0.6,1.9,1654039.1,251,85.11,0.84
Fam6,E_30,S17,V48_137,3.2,0,923,42,S3,Fam06,O,TC,F,11.2,65.9,E_control,control,48,138.6,-0.54225,-1.04789,1.2,49.5,18.8,4.1,2972330.5,508,80.11,0.43
Fam6,E_30,S17,V48_032,4.3,0,595,38,S2,Fam06,O,TC,F,10,66.2,E_control,control,43,-3.988,0.74326,0.69317,0.4,20,10.7,0.7,1152749,226,60.11,1.31
Fam6,E_30,S17,V48_310,3.4,2,583,35,S8,Fam06,O,TT,F,9.4,66.7,E_exposed,infected,41,123.071,-2.06336,-2.09679,0.7,26.7,8.6,2.2,2677709.3,427,85.11,0.44
Fam6,E_30,S17,V48_228,2.6,1,645,36,S6,Fam06,O,TT,F,11.5,68.2,E_exposed,infected,42,138.718,-2.06245,-2.18199,1.1,25.5,14.1,3.3,2550909.9,409,70.11,0.39
Fam6,E_30,S17,V48_006,5,0,1096,43,S1,Fam06,O,TC,F,10.9,66.3,E_control,control,50,265.247,-2.33004,-3.07594,0.9,61.3,116.8,3.5,923411.8,174,70.11,0.96
Fam6,E_30,S17,V48_181,3.9,1,803,41,S5,Fam06,O,TT,M,11.3,66.8,E_exposed,infected,46,64.953,0.39147,0.0525,1,23.4,11.9,4.4,1658412.2,265,75.11,1.19
Fam6,E_30,S17,V48_227,3.5,0,837,39,S4,Fam06,O,TC,M,11.5,67.7,E_control,control,45,191.659,-2.15642,-2.54261,1.4,30.9,5.6,5,1636361.1,240,60.11,0.96
