FamilyOfFather,clutch.ID,fatherID,matchV48,HK.W,No.Worms,Wnettofin,Slfin,ID,Family,Generat,Tr,Sex,MReads,Mapping,trtG1G2,outcome,Tlfin,Cfresfin,BC,BCgen,SPL.W,L.W,GON.W,BK.W,integration.RLU.,peak.RLU.sec.,Tpeak.min.,G.L_ratio
Fam17,NE_46,S143,V48_010,3.9,3,430,35,S139,Fam17,O,CT,M,10.7,70.6,NE_exposed,infected,39,-29.929,0.40214,0.5812,0.1,12.5,0.1,1.1,1156073.3,209,70.11,1.06
Fam17,NE_46,S143,V48_189,2,0,391,33,S136,Fam17,O,CC,M,12.8,72,NE_control,control,38,23.777,-0.9694,-0.73618,0.5,12.6,0.6,0.3,937141,135,20.11,0.72
Fam17,NE_46,S143,V48_328,2.1,0,285,30,S137,Fam17,O,CC,F,9.7,71.7,NE_control,control,34,56.836,-2.26128,-1.88084,0.4,8.8,5.2,0.7,1867475.7,252,70.11,0.55
Fam17,NE_46,S143,V48_187,1.1,5,428,35,S141,Fam17,O,CT,M,19.3,68.3,NE_exposed,infected,40,-31.929,0.43437,0.6162,0.4,9.9,0.5,2.2,335313.9,38,75.11,2.05
Fam17,NE_46,S143,V48_224,2.2,3,492,36,S142,Fam17,O,CT,F,4.8,71.8,NE_exposed,infected,41,-14.282,0.39316,0.48668,0.1,18.5,10.1,1.2,2982442.5,475,70.11,1.09
Fam17,NE_46,S143,V48_067,2.1,2,423,35,S140,Fam17,O,CT,F,8.9,71.6,NE_exposed,infected,40,-36.929,0.51494,0.70372,0.3,13.9,8.6,0.5,337334.9,45,110.11,1.38
Fam17,NE_46,S143,V48_047,3.6,0,331,31,S135,Fam17,O,CC,M,10.5,71.2,NE_control,control,36,56.483,-2.00254,-1.68599,0.3,10.4,0.1,0.9,299015.7,45,85.11,0.77
Fam17,NE_49,S68,V48_017,4.1,0,617,35,S60,Fam17,O,CC,F,10.6,69.8,NE_control,control,41,157.071,-2.61125,-2.6919,0.2,21.6,7.6,1.8,2074142.4,413,55.11,0.94
Fam17,NE_49,S68,V48_220,1.5,1,371,33,S65,Fam17,O,CT,M,9.5,68.9,NE_exposed,infected,38,3.777,-0.64711,-0.38612,0.1,7.5,0.3,1.3,1788799.5,270,75.11,0.39
Fam17,NE_49,S68,V48_174,0.8,0,345,32,S62,Fam17,O,CC,F,11.7,71.4,NE_control,control,37,24.13,-1.22814,-0.93103,0.1,8.8,5.9,1.1,717637.4,111,95.11,0.74
Fam17,NE_49,S68,V48_018,4,0,491,35,S61,Fam17,O,CC,F,9.3,69.6,NE_control,control,40,31.071,-0.58084,-0.4865,0.1,17,6.2,0.1,1463057.1,275,70.11,1.06
Fam17,NE_49,S68,V48_347,0.8,2,279,32,S67,Fam17,O,CT,M,12.4,71,NE_exposed,infected,37,-41.87,-0.16459,0.22418,0.1,3.3,NA,0.5,NA,NA,NA,0.71
Fam17,NE_49,S68,V48_348,1.9,0,466,36,S63,Fam17,O,CC,F,10.4,70.4,NE_control,control,41,-40.282,0.82202,0.95108,0.1,22.2,6.8,2.2,2724099.2,475,70.11,0.8
Fam17,NE_49,S68,V48_198,1,2,328,32,S64,Fam17,O,CT,F,10.7,72.2,NE_exposed,infected,37,7.13,-0.95419,-0.63348,0.1,6.8,5.1,0.9,476258.3,56,90.11,0.33
Fam17,NE_49,S68,V48_337,1.8,3,476,35,S66,Fam17,O,CT,F,10.8,69.7,NE_exposed,infected,40,16.071,-0.33912,-0.22395,0.3,22.5,7.6,1.4,519244.8,89,85.11,0.36
