Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
G04921-L1_S49_L003_R1_001_trimmed_cutadapt	76.64788180624976	35.0	92.24831345102044	27.27272727272727	11856015.0
G04922-L1_S50_L003_R1_001_trimmed_cutadapt	73.28151385986578	34.0	93.53620575180774	27.27272727272727	9267243.0
G04923-L1_S51_L003_R1_001_trimmed_cutadapt	74.26335732464169	33.0	93.07507716415829	18.181818181818183	10654558.0
G04924-L1_S52_L003_R1_001_trimmed_cutadapt	74.0513063278872	33.0	94.07904182541003	27.27272727272727	11057943.0
G04925-L1_S53_L003_R1_001_trimmed_cutadapt	70.8438611016783	32.0	94.44102871490279	18.181818181818183	12405614.0
G04926-L1_S54_L003_R1_001_trimmed_cutadapt	72.4291992854892	32.0	94.18356325075695	18.181818181818183	12887743.0
G04927-L1_S55_L004_R1_001_trimmed_cutadapt	71.14370423221862	33.0	94.63228230587298	18.181818181818183	8554296.0
G04928-L1_S56_L004_R1_001_trimmed_cutadapt	73.8520650465054	32.0	94.13501663848692	18.181818181818183	10116605.0
G04929-L1_S57_L004_R1_001_trimmed_cutadapt	71.61198177473655	34.0	92.86970066325443	27.27272727272727	8770390.0
G04930-L1_S58_L004_R1_001_trimmed_cutadapt	75.189868384142	33.0	93.13780811006741	18.181818181818183	13554166.0
G04931-L1_S59_L004_R1_001_trimmed_cutadapt	70.16177118161136	33.0	92.52757697110022	18.181818181818183	10316307.0
G04932-L1_S60_L004_R1_001_trimmed_cutadapt	71.60996345910033	33.0	93.71418851266237	18.181818181818183	10331985.0
G04933-L1_S61_L004_R1_001_trimmed_cutadapt	71.18225890688257	31.0	95.20941603259313	18.181818181818183	9251030.0
G04934-L1_S62_L004_R1_001_trimmed_cutadapt	70.87435509974392	32.0	94.42082347056412	18.181818181818183	11645225.0
G04935-L1_S63_L004_R1_001_trimmed_cutadapt	75.48772814026722	32.0	94.99398909877083	18.181818181818183	10344705.0
G04936-L1_S64_L004_R1_001_trimmed_cutadapt	71.0127203129675	32.0	95.71597516719298	18.181818181818183	10694079.0
G04937-L1_S65_L004_R1_001_trimmed_cutadapt	72.51505343526273	32.0	94.9089392135243	18.181818181818183	9531051.0
G04938-L1_S66_L004_R1_001_trimmed_cutadapt	73.04142008128062	33.0	94.34373006966456	18.181818181818183	10403425.0
G04939-L1_S67_L004_R1_001_trimmed_cutadapt	72.4884349397583	32.0	95.2919800202657	18.181818181818183	12337101.0
G04940-L1_S68_L004_R1_001_trimmed_cutadapt	69.01520976559462	32.0	94.21752489696959	18.181818181818183	10803122.0
G04941-L1_S69_L004_R1_001_trimmed_cutadapt	71.79638261934454	32.0	94.4564786158135	18.181818181818183	12850407.0
G04942-L1_S70_L004_R1_001_trimmed_cutadapt	72.33981471476552	30.0	95.01580766224461	18.181818181818183	7188729.0
G04943-L1_S71_L004_R1_001_trimmed_cutadapt	75.25207848436054	32.0	94.1060766598944	18.181818181818183	10992371.0
G04944-L1_S72_L004_R1_001_trimmed_cutadapt	76.01681881686254	32.0	94.1252620145789	18.181818181818183	13533121.0
G04945-L1_S73_L005_R1_001_trimmed_cutadapt	75.8126575355255	33.0	93.25952441507785	27.27272727272727	12192691.0
G04946-L1_S74_L005_R1_001_trimmed_cutadapt	72.24651823916824	33.0	94.17825816648183	18.181818181818183	11318797.0
G04947-L1_S75_L005_R1_001_trimmed_cutadapt	72.04381977660898	33.0	93.52248499144294	18.181818181818183	10352261.0
