SampleID,Sample_Name,NbrMethylatedCpG,MappingEfficiency%BSBoldvsGynogen,percent_duplicates_rawReads,percent_GC_rawReads,M.Seqs_rawReads,percent_duplicates_trimmedReads,percent_gc_trimmedReads,avg_sequence_length_trimmedReads,percent_fails_trimmedReads,total_sequences_trimmedReads,ID,Family,Generat,Tr,Sex,MReads,matchV48,Mapping,trtG1G2,outcome,No.Worms...11,Slfin,Tlfin,Wnettofin,Cfresfin,BC,BCgen,HK.W,SPL.W,L.W,GON.W,BK.W,No.Worms...23,integration[RLU],peak[RLU/sec],Tpeak[min],G/L_ratio
S114,G04986-L1_S114_L007_R1_001,24552013,88.564,72.9%,32%,11.1,71.7256898444143,31,95.625510122534,18.1818181818182,10711152,S114,Fam11,O,TT,M,10.9,V48_066,70.4,E_exposed,infected,1,35,40,440,-19.929,0.24099,0.40617,2.5,0.4,12,0.3,2.7,1,2100984.6,324,75.11,1.15
S115,G04987-L1_S115_L007_R1_001,24798112,89.183,73.3%,31%,10.6,73.0754210784325,31,96.1392852651963,18.1818181818182,10537195,S115,Fam11,O,TT,F,10.5,V48_111,71.7,E_exposed,infected,3,41,46,768,29.953,0.95547,0.66511,4.2,0.9,31.3,13.6,4.4000000000000004,3,2643137.4,439,75.11,0.74
S116,G04988-L1_S116_L007_R1_001,23943047,89.259,78.2%,30%,11.1,78.0316281527657,30,96.4736201595049,18.1818181818182,11079161,S116,Fam11,O,CC,M,11.1,V48_022,67,NE_control,control,0,38,44,638,39.012,0.05035,-0.05947,4.4,0.4,16.9,2.9,1.9,0,951264.4,190,70.11,0.83
S117,G04989-L1_S117_L007_R1_001,30656031,88.237,76.1%,32%,12.3,75.7659804373201,31,96.3118485886017,18.1818181818182,12250227,S117,Fam11,O,CC,F,12.3,V48_052,71.2,NE_control,control,0,38,44,594,-4.988,0.75938,0.71067,1.5,0.5,14.8,10,1.1000000000000001,0,301697.2,41,100.11,1.73
S119,G04991-L1_S119_L007_R1_001,21501374,87.804,72.9%,30%,10,72.7274546612934,30,96.4777069276649,18.1818181818182,9954191,S119,Fam11,O,CC,M,10,V48_357,70.2,NE_control,control,0,38,43,561,-37.988,1.29115,1.28828,1.5,0.4,6.7,3.3,1.1000000000000001,0,632294.5,89,85.11,1.79
S120,G04992-L1_S120_L007_R1_001,28724263,88.724,78.6%,30%,12.5,78.4508477488463,30,96.8675702323594,18.1818181818182,12489186,S120,Fam11,O,CT,F,12.5,V48_075,72.3,NE_exposed,infected,2,39,45,560,-85.341,2.30727,2.30578,1.5,0.3,13.4,9,1.1000000000000001,2,1809721.2,276,65.11,0.72
S121,G04993-L1_S121_L007_R1_001,29198548,88.408,75.7%,31%,12.8,75.3643567151436,31,96.0378740147915,18.1818181818182,12759355,S121,Fam11,O,CT,F,12.8,V48_150,71.4,NE_exposed,infected,2,36,42,473,-33.282,0.70922,0.82856,2.7,0.1,11.4,5.7,NA,2,1477290.9,220,85.11,1.27
S122,G04994-L1_S122_L007_R1_001,25601386,89.991,74.5%,31%,11.1,74.2540553406823,30,96.4771431271685,18.1818181818182,11046568,S122,Fam11,O,CT,F,11.1,V48_272,73,NE_exposed,infected,1,41,47,685,-53.047,2.29297,2.11788,2,0.4,14.4,10.7,2.4,1,1743554.3,291,55.11,0.68
S123,G04995-L1_S123_L007_R1_001,27118259,87.911,76.2%,32%,12.3,75.961241730776,32,96.432714509976,18.1818181818182,12250992,S123,Fam11,O,CT,M,12.3,V48_307,70.9,NE_exposed,infected,1,34,40,363,-50.576,0.4818,0.75391,0.9,0.1,4.7,0.3,0.4,1,201478.8,29,90.11,0.61
S124,G04996-L1_S124_L007_R1_001,33931581,88.603,73.9%,33%,13.3,73.5679223457792,32,95.6501654506603,18.1818181818182,13226904,S124,Fam11,P,T,M,13.3,64,70.1,Exposed,infected,4,45,50,1024,11.458,0.83019,1.30824,5.8,1.2,27.9,15.7,307,4,3361759,457,70.11,0.6141
S125,G04997-L1_S125_L007_R1_001,30801331,86.717,74.5%,34%,11.5,74.1890826730341,33,96.4804119497386,18.1818181818182,11488586,S125,Fam11,P,C,M,11.5,65,68.9,Control,control,0,43,50,919,11.464,0.52221,0.57266,3.5,1,26.4,16.100000000000001,204,0,2456302,317,70.11,0.6074
S128,G05000-L1_S128_L008_R1_001,22002292,87.954,70.2%,31%,9.4,69.7659700780587,31,94.8138272552841,18.1818181818182,9304493,S128,Fam17,O,TC,M,9.3,V48_038,69.1,E_control,control,0,33,38,365,-2.223,-0.55043,-0.28109,3.8,0.3,12.4,0.2,1.2,0,854941.9,146,65.11,0.82
S129,G05001-L1_S129_L008_R1_001,30074171,86.605,72.9%,32%,12.7,72.2164683103198,32,94.654173329884,18.1818181818182,12562750,S129,Fam17,O,TC,M,12.6,V48_203,68.8,E_control,control,0,31,35,330,55.483,-1.98642,-1.66848,1,0.3,8.2,0.5,1.4,0,350440.4,49,70.11,0.72
S13,G04885-L1_S13_L001_R1_001,23734282,88.067,73.3%,32%,10.1,73.0863691995843,31,96.3541632608944,18.1818181818182,10038105,S13,Fam06,O,CT,F,10.1,V48_013,71.1,NE_exposed,infected,4,37,42,454,-98.635,2.01539,2.16112,4.2,0.3,8.5,5.9,NA,4,NA,NA,NA,0.77
S130,G05002-L1_S130_L008_R1_001,22306695,87.303,72.9%,31%,10.2,72.5368811292148,31,95.7206842450298,18.1818181818182,10182025,S130,Fam17,O,TC,M,10.2,V48_204,69.4,E_control,control,0,32,37,370,49.13,-1.631,-1.36861,0.7,0.1,10,0.3,1.1000000000000001,0,238101.3,27,85.11,0.25
S131,G05003-L1_S131_L008_R1_001,18583322,88.668,71.7%,31%,8.5,71.3760900924036,30,95.8680261875097,18.1818181818182,8493973,S131,Fam17,O,TT,M,8.5,V48_002,69.7,E_exposed,infected,6,30,34,274,45.836,-2.08402,-1.6883,3.4,0.1,7.6,0.1,0.3,6,NA,NA,NA,0.88
S132,G05004-L1_S132_L008_R1_001,25914753,86.957,73.3%,31%,11,72.8587706105017,31,95.9068539553905,18.1818181818182,10927442,S132,Fam17,O,TT,F,11,V48_099,69.5,E_exposed,infected,2,31,36,335,60.483,-2.06699,-1.756,1,0.1,10.1,6.8,1.6,2,692365.8,100,95.11,0.33
S133,G05005-L1_S133_L008_R1_001,22014108,87.977,73.5%,30%,10.4,73.2273809499199,30,96.3947612012609,18.1818181818182,10367873,S133,Fam17,O,TT,M,10.4,V48_178,69.3,E_exposed,infected,3,31,36,327,52.483,-1.93808,-1.61597,1,0.1,6.8,0.2,0.8,3,395237.2,53,100.11,0.51
S134,G05006-L1_S134_L008_R1_001,20623070,88.839,71.3%,30%,9.6,71.0513989578169,30,96.3671786803259,18.1818181818182,9548964,S134,Fam17,O,TT,M,9.6,V48_202,71.2,E_exposed,infected,1,35,40,472,12.071,-0.27467,-0.15394,1,0.3,13,2.8,2.2000000000000002,1,381340.9,55,25.11,0.26
S135,G05007-L1_S135_L008_R1_001,22103551,89.315,76.2%,30%,10.5,75.998830269792,30,96.0671969772583,18.1818181818182,10469965,S135,Fam17,O,CC,M,10.5,V48_047,71.2,NE_control,control,0,31,36,331,56.483,-2.00254,-1.68599,3.6,0.3,10.4,0.1,0.9,0,299015.7,45,85.11,0.77
S136,G05008-L1_S136_L008_R1_001,26966126,89.494,79.2%,29%,12.8,79.0992895365252,29,96.9404985817194,18.1818181818182,12807409,S136,Fam17,O,CC,M,12.8,V48_189,72,NE_control,control,0,33,38,391,23.777,-0.9694,-0.73618,2,0.5,12.6,0.6,0.3,0,937141,135,20.11,0.72
S137,G05009-L1_S137_L008_R1_001,22271361,89.408,71.9%,31%,9.7,71.4576066316959,30,95.1061332173661,18.1818181818182,9657900,S137,Fam17,O,CC,F,9.7,V48_328,71.7,NE_control,control,0,30,34,285,56.836,-2.26128,-1.88084,2.1,0.4,8.8,5.2,0.7,0,1867475.7,252,70.11,0.55
S138,G05010-L1_S138_L008_R1_001,22066735,88.732,71.6%,32%,9.9,70.4340242370717,31,95.1083862845326,18.1818181818182,9599877,S138,Fam17,O,CC,F,9.7,V48_378,70.4,NE_control,control,0,34,39,444,30.424,-0.82346,-0.66385,1.6,0.4,15.7,5.9,2,0,2141092.9,351,70.11,0.96
S139,G05011-L1_S139_L008_R1_001,24094609,88.244,71.3%,31%,10.7,70.8703309194955,30,95.1403347119674,18.1818181818182,10641209,S139,Fam17,O,CT,M,10.7,V48_010,70.6,NE_exposed,infected,3,35,39,430,-29.929,0.40214,0.5812,3.9,0.1,12.5,0.1,1.1000000000000001,3,1156073.3,209,70.11,1.06
S14,G04886-L1_S14_L001_R1_001,23434755,84.116,71.6%,32%,10.5,71.1310171697497,31,95.2591591272909,18.1818181818182,10469147,S14,Fam06,O,CT,M,10.5,V48_211,66.9,NE_exposed,infected,1,42,48,688,-96.4,3.24463,3.06537,2.1,1.2,16.3,1.1000000000000001,2.8,1,1364347.2,190,75.11,0.7
S140,G05012-L1_S140_L008_R1_001,19971691,89.159,69.6%,31%,9,69.1052968859919,30,94.7749233146962,18.1818181818182,8883710,S140,Fam17,O,CT,F,8.9,V48_067,71.6,NE_exposed,infected,2,35,40,423,-36.929,0.51494,0.70372,2.1,0.3,13.9,8.6,0.5,2,337334.9,45,110.11,1.38
S141,G05013-L1_S141_L008_R1_001,42459227,86.166,75.7%,32%,19.6,74.6580923440331,31,93.4252573418578,18.1818181818182,19186152,S141,Fam17,O,CT,M,19.3,V48_187,68.3,NE_exposed,infected,5,35,40,428,-31.929,0.43437,0.6162,1.1,0.4,9.9,0.5,2.2000000000000002,5,335313.90000000002,38,75.11,2.05
S143,G05015-L1_S143_L008_R1_001,23779315,86.32,70.3%,32%,10.8,69.6742839454687,31,93.7862241142045,18.1818181818182,10781637,S143,Fam17,P,C,M,10.8,109,67.9,Control,control,0,46,52,1094,11.615,0.70219,1.46529,5.9,1.5,50.2,8.3000000000000007,515,0,3553671,798.5,15.1,0.9408
S144,G05016-L1_S144_L008_R1_001,28301850,85.172,73.9%,31%,12.4,73.5109274715553,31,95.8579892490954,18.1818181818182,12310406,S144,Fam17,P,T,M,12.4,110,67.6,Exposed,infected,1,45,51.5,1228,13.741,-2.45714,-1.14835,4.1,1.6,43.5,13.1,477,1,2572607,367,15.1,1.2838
S15,G04887-L1_S15_L001_R1_001,19222771,86.396,70.1%,32%,8.4,69.6256014775758,31,95.0609732524211,18.1818181818182,8308266,S15,Fam06,O,CT,F,8.3,V48_295,68,NE_exposed,infected,2,44,50,976,98.893,0.60368,0.02444,5.3,1.3,46.1,16.399999999999999,5.2,2,2482191.7999999998,355,85.11,1.25
S16,G04888-L1_S16_L001_R1_001,22619233,82.148,72.7%,32%,10.5,72.2906816481808,31,94.9902938508063,18.1818181818182,10478821,S16,Fam06,P,C,M,10.5,62,64.8,Control,control,0,43,49,931,11.613,0.32883,0.42816,4.1,0.9,18.8,8.1999999999999993,261,0,2834708,358.5,102.61,0.5291
S17,G04889-L1_S17_L001_R1_001,22454935,82.91,75.0%,34%,9.3,74.4458832833926,33,94.6526810828567,18.1818181818182,9211819,S17,Fam06,P,T,M,9.2,63,65.2,Exposed,infected,6,39,44,732,11.531,-0.46441,-1.17546,2.6,1.1000000000000001,17.5,7.7,174,6,1914101,243,105.11,0.4579
S18,G04890-L1_S18_L001_R1_001,21256755,81.22,74.3%,34%,10.1,72.6586402671622,33,94.607725432694,18.1818181818182,9497358,S18,Fam06,O,TC,M,9.8,V48_089,62.9,E_control,control,0,38,43,573,-25.988,1.09778,1.07824,2.7,0.5,15.6,0.6,1.8,0,800082.5,158,40.11,0.5
S19,G04891-L1_S19_L002_R1_001,27692025,85.516,73.7%,33%,11.4,73.1534893548503,32,95.4602665853386,18.1818181818182,11305648,S19,Fam06,O,TC,F,11.4,V48_090,69.8,E_control,control,0,41,46,702,-36.047,2.01902,1.82032,3,0.6,25.3,10.9,2.6,0,2012259.2,295,75.11,0.68
S2,G04874-L1_S2_L001_R1_001,24958797,83.446,74.4%,34%,10.1,73.8700907718617,33,95.1677484548061,18.1818181818182,10007967,S2,Fam06,O,TC,F,10,V48_032,66.2,E_control,control,0,38,43,595,-3.988,0.74326,0.69317,4.3,0.4,20,10.7,0.7,NA,1152749,226,60.11,1.31
S20,G04892-L1_S20_L002_R1_001,28279565,82.306,75.8%,33%,12.6,75.4008179833028,33,95.5132936458595,18.1818181818182,12465730,S20,Fam06,O,TC,F,12.5,V48_122,65.3,E_control,control,0,40,46,680,-11.694,1.37354,1.2054,2.3,0.6,19.8,27.6,19.8,0,1011690.6,174,100.11,0.67
S21,G04893-L1_S21_L002_R1_001,22564944,78.427,75.8%,34%,11.2,75.0682539220511,33,93.0485178312858,27.2727272727273,11091180,S21,Fam06,O,TC,M,11.1,V48_380,61.5,E_control,control,0,40,45,689,-2.694,1.22851,1.04787,2.6,0.5,14.3,1.2,3.4,0,901561.7,157,90.11,0.45
S22,G04894-L1_S22_L002_R1_001,12433508,86.185,78.5%,30%,5.8,78.3631361527837,30,96.385772124617,18.1818181818182,5775648,S22,Fam06,O,TT,F,5.8,V48_055,69.1,E_exposed,infected,1,38,44,615,16.012,0.4058113,0.3229637,1.7,0.7,17.4,12,2.2000000000000002,1,194165,27,125.11,1.74
