SampleID,Sample_Name,NbrMethylatedCpG,MappingEfficiency%BSBoldvsGynogen,percent_duplicates_rawReads,percent_GC_rawReads,M.Seqs_rawReads,percent_duplicates_trimmedReads,percent_gc_trimmedReads,avg_sequence_length_trimmedReads,percent_fails_trimmedReads,total_sequences_trimmedReads,FamilyOfFather,clutch.ID,fatherID,matchV48,HK.W,No.Worms,Wnettofin,Slfin,ID,Family,Generat,Tr,Sex,MReads,Mapping,trtG1G2,outcome,Tlfin,Cfresfin,BC,BCgen,SPL.W,L.W,GON.W,BK.W,integration.RLU.,peak.RLU.sec.,Tpeak.min.,G.L_ratio
S114,G04986-L1_S114_L007_R1_001,24552013,88.564,72.9%,32%,11.1,71.7256898444143,31,95.625510122534,18.1818181818182,10711152,Fam11,E_31,S124,V48_066,2.5,1,440,35,S114,Fam11,O,TT,M,10.9,70.4,E_exposed,infected,40,-19.929,0.24099,0.40617,0.4,12,0.3,2.7,2100984.6,324,75.11,1.15
S115,G04987-L1_S115_L007_R1_001,24798112,89.183,73.3%,31%,10.6,73.0754210784325,31,96.1392852651963,18.1818181818182,10537195,Fam11,E_31,S124,V48_111,4.2,3,768,41,S115,Fam11,O,TT,F,10.5,71.7,E_exposed,infected,46,29.953,0.95547,0.66511,0.9,31.3,13.6,4.4,2643137.4,439,75.11,0.74
S116,G04988-L1_S116_L007_R1_001,23943047,89.259,78.2%,30%,11.1,78.0316281527657,30,96.4736201595049,18.1818181818182,11079161,Fam11,NE_31,S125,V48_022,4.4,0,638,38,S116,Fam11,O,CC,M,11.1,67,NE_control,control,44,39.012,0.05035,-0.05947,0.4,16.9,2.9,1.9,951264.4,190,70.11,0.83
S117,G04989-L1_S117_L007_R1_001,30656031,88.237,76.1%,32%,12.3,75.7659804373201,31,96.3118485886017,18.1818181818182,12250227,Fam11,NE_31,S125,V48_052,1.5,0,594,38,S117,Fam11,O,CC,F,12.3,71.2,NE_control,control,44,-4.988,0.75938,0.71067,0.5,14.8,10,1.1,301697.2,41,100.11,1.73
S119,G04991-L1_S119_L007_R1_001,21501374,87.804,72.9%,30%,10,72.7274546612934,30,96.4777069276649,18.1818181818182,9954191,Fam11,NE_31,S125,V48_357,1.5,0,561,38,S119,Fam11,O,CC,M,10,70.2,NE_control,control,43,-37.988,1.29115,1.28828,0.4,6.7,3.3,1.1,632294.5,89,85.11,1.79
S120,G04992-L1_S120_L007_R1_001,28724263,88.724,78.6%,30%,12.5,78.4508477488463,30,96.8675702323594,18.1818181818182,12489186,Fam11,NE_31,S125,V48_075,1.5,2,560,39,S120,Fam11,O,CT,F,12.5,72.3,NE_exposed,infected,45,-85.341,2.30727,2.30578,0.3,13.4,9,1.1,1809721.2,276,65.11,0.72
S121,G04993-L1_S121_L007_R1_001,29198548,88.408,75.7%,31%,12.8,75.3643567151436,31,96.0378740147915,18.1818181818182,12759355,Fam11,NE_31,S125,V48_150,2.7,2,473,36,S121,Fam11,O,CT,F,12.8,71.4,NE_exposed,infected,42,-33.282,0.70922,0.82856,0.1,11.4,5.7,NA,1477290.9,220,85.11,1.27
S122,G04994-L1_S122_L007_R1_001,25601386,89.991,74.5%,31%,11.1,74.2540553406823,30,96.4771431271685,18.1818181818182,11046568,Fam11,NE_31,S125,V48_272,2,1,685,41,S122,Fam11,O,CT,F,11.1,73,NE_exposed,infected,47,-53.047,2.29297,2.11788,0.4,14.4,10.7,2.4,1743554.3,291,55.11,0.68
S123,G04995-L1_S123_L007_R1_001,27118259,87.911,76.2%,32%,12.3,75.961241730776,32,96.432714509976,18.1818181818182,12250992,Fam11,NE_31,S125,V48_307,0.9,1,363,34,S123,Fam11,O,CT,M,12.3,70.9,NE_exposed,infected,40,-50.576,0.4818,0.75391,0.1,4.7,0.3,0.4,201478.8,29,90.11,0.61
S124,G04996-L1_S124_L007_R1_001,33931581,88.603,73.9%,33%,13.3,73.5679223457792,32,95.6501654506603,18.1818181818182,13226904,Fam11,E_31,NA,64,5.8,4,1024,45,S124,Fam11,P,T,M,13.3,70.1,Exposed,infected,50,11.458,0.83019,1.30824,1.2,27.9,15.7,307,3361759,457,70.11,0.6141
